yearID,lgID,teamID,franchID,divID,Rank,G,Ghome,W,L,DivWin,WCWin,LgWin,WSWin,name,park,attendance
1888,AA,PH4,PHA,,3,136,,81,52,,,N,N,Philadelphia Athletics,Jefferson Street Grounds,
1888,NL,PHI,PHI,,3,132,,69,61,,,N,N,Philadelphia Quakers,Philadelphia Baseball Grounds,
1888,NL,PIT,PIT,,6,139,,66,68,,,N,N,Pittsburg Alleghenys,Recreation Park,
1888,AA,SL4,STL,,1,137,,92,43,,,Y,N,St. Louis Browns,Sportsman's Park I,
1888,NL,WS8,WNL,,8,136,,48,86,,,N,N,Washington Nationals,Swampdoodle Grounds,
1889,AA,BL2,BLO,,5,139,,70,65,,,N,N,Baltimore Orioles,Oriole Park,
1889,AA,BR3,LAD,,1,140,,93,44,,,Y,N,Brooklyn Bridegrooms,Washington Park I,
1889,NL,BSN,ATL,,2,133,,83,45,,,N,N,Boston Beaneaters,South End Grounds II,
1889,NL,CHN,CHC,,3,136,,67,65,,,N,N,Chicago White Stockings,West Side Park I,
1889,NL,CL4,CLV,,6,136,,61,72,,,N,N,Cleveland Spiders,National League Park,
1889,AA,CL6,CLS,,6,140,,60,78,,,N,N,Columbus Solons,Recreation Park II,
1889,AA,CN2,CIN,,4,141,,76,63,,,N,N,Cincinnati Red Stockings,League Park I in Cincinnati,
1889,NL,IN3,IND,,7,135,,59,75,,,N,N,Indianapolis Hoosiers,Athletic Park II,
1889,AA,KC2,KCC,,7,139,,55,82,,,N,N,Kansas City Cowboys,Exposition Park,
1889,AA,LS2,LOU,,8,140,,27,111,,,N,N,Louisville Colonels,Eclipse Park I,
1889,NL,NY1,SFG,,1,131,,83,43,,,Y,Y,New York Giants,Polo Grounds II,
1889,AA,PH4,PHA,,3,138,,75,58,,,N,N,Philadelphia Athletics,Jefferson Street Grounds,
1889,NL,PHI,PHI,,4,130,,63,64,,,N,N,Philadelphia Quakers,Philadelphia Baseball Grounds,
1889,NL,PIT,PIT,,5,134,,61,71,,,N,N,Pittsburg Alleghenys,Recreation Park,
1889,AA,SL4,STL,,2,141,,90,45,,,N,N,St. Louis Browns,Sportsman's Park I,
1889,NL,WS8,WNL,,8,127,,41,83,,,N,N,Washington Nationals,Swampdoodle Grounds,
1890,PL,BFP,BFB,,8,134,,36,96,,,N,,Buffalo Bisons,,
1890,AA,BL3,BLO,,6,38,,15,19,,,N,N,Baltimore Orioles,Oriole Park,
1890,AA,BR4,BRG,,9,100,,26,73,,,N,N,Brooklyn Gladiators,Ridgewood Park,
1890,NL,BRO,LAD,,1,129,,86,43,,,Y,N,Brooklyn Bridegrooms,Washington Park II,121412
1890,PL,BRP,BWW,,2,133,,76,56,,,N,,Brooklyn Ward's Wonders,,
1890,NL,BSN,ATL,,5,134,,76,57,,,N,N,Boston Beaneaters,South End Grounds II,147539
1890,PL,BSP,BRS,,1,130,,81,48,,,Y,,Boston Reds,,
1890,NL,CHN,CHC,,2,139,,83,53,,,N,N,Chicago Colts,West Side Park I,102536
1890,PL,CHP,CHP,,4,138,,75,62,,,N,,Chicago Pirates,,
1890,NL,CIN,CIN,,4,134,,77,55,,,N,N,Cincinnati Reds,League Park I in Cincinnati,131980
1890,NL,CL4,CLV,,7,136,,44,88,,,N,N,Cleveland Spiders,National League Park,47478
1890,AA,CL6,CLS,,2,140,,79,55,,,N,N,Columbus Solons,Recreation Park II,
1890,PL,CLP,CLI,,7,131,,55,75,,,N,,Cleveland Infants,,
1890,AA,LS2,LOU,,1,136,,88,44,,,Y,N,Louisville Colonels,Eclipse Park I,
1890,NL,NY1,SFG,,6,135,,63,68,,,N,N,New York Giants,Polo Grounds II,60667
1890,PL,NYP,NYI,,3,132,,74,57,,,N,,New York Giants,,
1890,AA,PH4,PHA,,8,132,,54,78,,,N,N,Philadelphia Athletics,Jefferson Street Grounds,
1890,NL,PHI,PHI,,3,133,,78,53,,,N,N,Philadelphia Phillies,Philadelphia Baseball Grounds,148366
1890,PL,PHP,PHQ,,5,132,,68,63,,,N,,Philadelphia Athletics,,
1890,NL,PIT,PIT,,8,138,,23,113,,,N,N,Pittsburg Alleghenys,Recreation Park,16064
1890,PL,PTP,PBB,,6,128,,60,68,,,N,,Pittsburgh Burghers,,
1890,AA,RC2,ROC,,5,133,,63,63,,,N,N,Rochester Broncos,Culver Field I,
1890,AA,SL4,STL,,3,139,,78,58,,,N,N,St. Louis Browns,Sportsman's Park I,
1890,AA,SR2,SYS,,7,128,,55,72,,,N,N,Syracuse Stars,Star Park II,
1890,AA,TL2,TLM,,4,134,,68,64,,,N,N,Toledo Maumees,Speranza Park,
1891,AA,BL3,BLO,,4,139,,71,64,,,N,,Baltimore Orioles,Union Park,
1891,NL,BRO,LAD,,6,137,,61,76,,,N,,Brooklyn Grooms,Eastern Park,181477
1891,AA,BS2,BRS,,1,139,,93,42,,,Y,,Boston Reds,Congress Street Grounds,
