period_id,bu_id,fiscal_period_cd,fiscal_period_desc,fiscal_period_start,fiscal_period_end,fiscal_quarter_cd,fiscal_quarter_desc,fiscal_quarter_start,fiscal_quarter_end,fiscal_year_cd,fiscal_year_desc,fiscal_year_start,fiscal_year_end,adjustment_period,engagement_id,fiscal_period_seq,ver_start_date_id,ver_end_date_id,ver_desc
5945,40,2007-015,2007-015,20071231,20071231,2007-Q4,2007-Q4,20070930,20071231,2007,2007,20070101,20071231,Y,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,15,20141115,NULL,20141115
5946,40,2007-016,2007-016,20071231,20071231,2007-Q4,2007-Q4,20070930,20071231,2007,2007,20070101,20071231,Y,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,16,20141115,NULL,20141115
5947,40,2008-001,2008-001,20080101,20080131,2008-Q1,2008-Q1,20080101,20080331,2008,2008,20080101,20081231,N,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,1,20141115,NULL,20141115
5948,40,2008-002,2008-002,20080201,20080229,2008-Q1,2008-Q1,20080101,20080331,2008,2008,20080101,20081231,N,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,2,20141115,NULL,20141115
5949,40,2008-003,2008-003,20080301,20080331,2008-Q1,2008-Q1,20080101,20080331,2008,2008,20080101,20081231,N,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,3,20141115,NULL,20141115
5950,40,2008-004,2008-004,20080401,20080430,2008-Q2,2008-Q2,20080401,20080630,2008,2008,20080101,20081231,N,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,4,20141115,NULL,20141115
5951,40,2008-005,2008-005,20080501,20080531,2008-Q2,2008-Q2,20080401,20080630,2008,2008,20080101,20081231,N,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,5,20141115,NULL,20141115
5952,40,2008-006,2008-006,20080601,20080630,2008-Q2,2008-Q2,20080401,20080630,2008,2008,20080101,20081231,N,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,6,20141115,NULL,20141115
5953,40,2008-007,2008-007,20080701,20080731,2008-Q3,2008-Q3,20080701,20080930,2008,2008,20080101,20081231,N,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,7,20141115,NULL,20141115
5954,40,2008-008,2008-008,20080801,20080831,2008-Q3,2008-Q3,20080701,20080930,2008,2008,20080101,20081231,N,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,8,20141115,NULL,20141115
5955,40,2008-009,2008-009,20080901,20080930,2008-Q3,2008-Q3,20080701,20080930,2008,2008,20080101,20081231,N,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,9,20141115,NULL,20141115
5956,40,2008-010,2008-010,20081001,20081031,2008-Q4,2008-Q4,20081001,20081231,2008,2008,20080101,20081231,N,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,10,20141115,NULL,20141115
5957,40,2008-011,2008-011,20081101,20081130,2008-Q4,2008-Q4,20081001,20081231,2008,2008,20080101,20081231,N,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,11,20141115,NULL,20141115
5958,40,2008-012,2008-012,20081201,20081231,2008-Q4,2008-Q4,20081001,20081231,2008,2008,20080101,20081231,N,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,12,20141115,NULL,20141115
5959,40,2008-013,2008-013,20081231,20081231,2008-Q4,2008-Q4,20080930,20081231,2008,2008,20080101,20081231,Y,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,13,20141115,NULL,20141115
5960,40,2008-014,2008-014,20081231,20081231,2008-Q4,2008-Q4,20080930,20081231,2008,2008,20080101,20081231,Y,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,14,20141115,NULL,20141115
5961,40,2008-015,2008-015,20081231,20081231,2008-Q4,2008-Q4,20080930,20081231,2008,2008,20080101,20081231,Y,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,15,20141115,NULL,20141115
5962,40,2008-016,2008-016,20081231,20081231,2008-Q4,2008-Q4,20080930,20081231,2008,2008,20080101,20081231,Y,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,16,20141115,NULL,20141115
5963,40,2009-001,2009-001,20090101,20090131,2009-Q1,2009-Q1,20090101,20090331,2009,2009,20090101,20091231,N,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,1,20141115,NULL,20141115
5964,40,2009-002,2009-002,20090201,20090228,2009-Q1,2009-Q1,20090101,20090331,2009,2009,20090101,20091231,N,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,2,20141115,NULL,20141115
5965,40,2009-003,2009-003,20090301,20090331,2009-Q1,2009-Q1,20090101,20090331,2009,2009,20090101,20091231,N,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,3,20141115,NULL,20141115
5966,40,2009-004,2009-004,20090401,20090430,2009-Q2,2009-Q2,20090401,20090630,2009,2009,20090101,20091231,N,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,4,20141115,NULL,20141115
5967,40,2009-005,2009-005,20090501,20090531,2009-Q2,2009-Q2,20090401,20090630,2009,2009,20090101,20091231,N,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,5,20141115,NULL,20141115
5968,40,2009-006,2009-006,20090601,20090630,2009-Q2,2009-Q2,20090401,20090630,2009,2009,20090101,20091231,N,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,6,20141115,NULL,20141115
5969,40,2009-007,2009-007,20090701,20090731,2009-Q3,2009-Q3,20090701,20090930,2009,2009,20090101,20091231,N,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,7,20141115,NULL,20141115
5970,40,2009-008,2009-008,20090801,20090831,2009-Q3,2009-Q3,20090701,20090930,2009,2009,20090101,20091231,N,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,8,20141115,NULL,20141115
5971,40,2009-009,2009-009,20090901,20090930,2009-Q3,2009-Q3,20090701,20090930,2009,2009,20090101,20091231,N,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,9,20141115,NULL,20141115
5972,40,2009-010,2009-010,20091001,20091031,2009-Q4,2009-Q4,20091001,20091231,2009,2009,20090101,20091231,N,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,10,20141115,NULL,20141115
5973,40,2009-011,2009-011,20091101,20091130,2009-Q4,2009-Q4,20091001,20091231,2009,2009,20090101,20091231,N,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,11,20141115,NULL,20141115
5974,40,2009-012,2009-012,20091201,20091231,2009-Q4,2009-Q4,20091001,20091231,2009,2009,20090101,20091231,N,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,12,20141115,NULL,20141115
5975,40,2009-013,2009-013,20091231,20091231,2009-Q4,2009-Q4,20090930,20091231,2009,2009,20090101,20091231,Y,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,13,20141115,NULL,20141115
5976,40,2009-014,2009-014,20091231,20091231,2009-Q4,2009-Q4,20090930,20091231,2009,2009,20090101,20091231,Y,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,14,20141115,NULL,20141115
5977,40,2009-015,2009-015,20091231,20091231,2009-Q4,2009-Q4,20090930,20091231,2009,2009,20090101,20091231,Y,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,15,20141115,NULL,20141115
5978,40,2009-016,2009-016,20091231,20091231,2009-Q4,2009-Q4,20090930,20091231,2009,2009,20090101,20091231,Y,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,16,20141115,NULL,20141115
5979,40,2010-001,2010-001,20100101,20100131,2010-Q1,2010-Q1,20100101,20100331,2010,2010,20100101,20101231,N,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,1,20141115,NULL,20141115
5980,40,2010-002,2010-002,20100201,20100228,2010-Q1,2010-Q1,20100101,20100331,2010,2010,20100101,20101231,N,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,2,20141115,NULL,20141115
5981,40,2010-003,2010-003,20100301,20100331,2010-Q1,2010-Q1,20100101,20100331,2010,2010,20100101,20101231,N,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,3,20141115,NULL,20141115
5982,40,2010-004,2010-004,20100401,20100430,2010-Q2,2010-Q2,20100401,20100630,2010,2010,20100101,20101231,N,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,4,20141115,NULL,20141115
5983,40,2010-005,2010-005,20100501,20100531,2010-Q2,2010-Q2,20100401,20100630,2010,2010,20100101,20101231,N,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,5,20141115,NULL,20141115
5984,40,2010-006,2010-006,20100601,20100630,2010-Q2,2010-Q2,20100401,20100630,2010,2010,20100101,20101231,N,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,6,20141115,NULL,20141115
5985,40,2010-007,2010-007,20100701,20100731,2010-Q3,2010-Q3,20100701,20100930,2010,2010,20100101,20101231,N,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,7,20141115,NULL,20141115
5986,40,2010-008,2010-008,20100801,20100831,2010-Q3,2010-Q3,20100701,20100930,2010,2010,20100101,20101231,N,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,8,20141115,NULL,20141115
5987,40,2010-009,2010-009,20100901,20100930,2010-Q3,2010-Q3,20100701,20100930,2010,2010,20100101,20101231,N,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,9,20141115,NULL,20141115
5988,40,2010-010,2010-010,20101001,20101031,2010-Q4,2010-Q4,20101001,20101231,2010,2010,20100101,20101231,N,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,10,20141115,NULL,20141115
5989,40,2010-011,2010-011,20101101,20101130,2010-Q4,2010-Q4,20101001,20101231,2010,2010,20100101,20101231,N,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,11,20141115,NULL,20141115
5990,40,2010-012,2010-012,20101201,20101231,2010-Q4,2010-Q4,20101001,20101231,2010,2010,20100101,20101231,N,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,12,20141115,NULL,20141115
5991,40,2010-013,2010-013,20101231,20101231,2010-Q4,2010-Q4,20100930,20101231,2010,2010,20100101,20101231,Y,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,13,20141115,NULL,20141115
5992,40,2010-014,2010-014,20101231,20101231,2010-Q4,2010-Q4,20100930,20101231,2010,2010,20100101,20101231,Y,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,14,20141115,NULL,20141115
5993,40,2010-015,2010-015,20101231,20101231,2010-Q4,2010-Q4,20100930,20101231,2010,2010,20100101,20101231,Y,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,15,20141115,NULL,20141115
